pl_name,pl_rade,pl_orbper,pl_eqt
55 Cnc e,2.02311213,0.73654625026,1831.27
55 Cnc e,2.08,0.7365437,1958.0
AU Mic b,3.95677019,8.46308,600.0
AU Mic b,4.07,8.463,593.0
AU Mic c,2.52202066,18.85969,459.0
AU Mic c,3.24,18.859019,454.0
BD+20 594 b,2.23,41.6855,546.0
BD-14 3065 b,21.59,4.2889731,2001.0
BD-14 3065 b,20.7112,4.2889696,1404.0
CFHTWIR-Oph 98 b,20.8487041,8040000.0,1800.0
COCONUTS-2 b,12.44196858,402000000.0,434.0
CoRoT-1 b,20.5944,1.5089635,2036.0
CoRoT-1 b,15.91678,1.508976552,1834.0
CoRoT-1 b,16.7,1.5089557,1898.0
CoRoT-1 b,17.385159,1.5089686,1915.0
CoRoT-10 b,7.38532555,13.23412611048,510.96
CoRoT-10 b,10.87,13.2406,600.0
CoRoT-10 b,10.547669,13.2406,647.0
CoRoT-11 b,15.58051,2.994325,1715.0
CoRoT-11 b,21.74555811,2.99328197444,1681.79
CoRoT-11 b,15.984034,2.99433,1735.0
CoRoT-11 b,16.03,2.99433,1657.0
CoRoT-12 b,17.76037065,2.82803914989,1293.28
CoRoT-12 b,15.064896,2.82805268,1417.0
CoRoT-12 b,16.14,2.828042,1442.0
CoRoT-12 b,15.13215,2.828042,1410.0
CoRoT-13 b,9.92,4.03519,1700.0
CoRoT-13 b,12.53306062,4.03504443843,1233.17
CoRoT-13 b,14.033668,4.03519,1432.0
CoRoT-14 b,11.410762,1.51214,1936.0
CoRoT-14 b,12.22,1.51214,1952.0
CoRoT-17 b,11.287463,3.7681,1610.0
CoRoT-17 b,11.43,3.7681,1626.0
CoRoT-18 b,12.845514,1.90009,1487.0
CoRoT-18 b,14.68,1.9000693,1550.0
CoRoT-18 b,15.04962078,1.90008624739,1366.35
CoRoT-18 b,14.022459,1.9000693,1490.0
CoRoT-19 b,13.49322275,3.89712026062,1470.09
CoRoT-19 b,14.46,3.89713,2000.0
